command_id,object_name,relation_type
UNC:ADD AGGREGATEROUTE,AGGREGATEROUTE,creates
UNC:LST AGGREGATEROUTE,AGGREGATEROUTE,operates_on
UDG:SET AIFUNCPARA,AIFUNCPARA,sets
UDG:LST AIFUNCPARA,AIFUNCPARA,operates_on
UDG:LST ALARMINFO,ALARMINFO,operates_on
UNC:LST ALARMINFO,ALARMINFO,operates_on
UDG:LST ALARMSWITCH,ALARMSWITCH,operates_on
UDG:SET ALARMSWITCH,ALARMSWITCH,sets
UNC:LST ALARMSWITCH,ALARMSWITCH,operates_on
UNC:SET ALARMSWITCH,ALARMSWITCH,sets
UNC:MOD ALGPRIORITY,ALGPRIORITY,modifies
UNC:RMV ALGPRIORITY,ALGPRIORITY,deletes
UNC:ADD ALGPRIORITY,ALGPRIORITY,creates
UNC:LST ALGPRIORITY,ALGPRIORITY,operates_on
UNC:MOD ALIASAPN,ALIASAPN,modifies
UNC:RMV ALIASAPN,ALIASAPN,deletes
UNC:ADD ALIASAPN,ALIASAPN,creates
UNC:LST ALIASAPN,ALIASAPN,operates_on
UDG:RMV ALLIFIPADDRESS,ALLIFIPADDRESS,deletes
UNC:RMV ALLIFIPADDRESS,ALLIFIPADDRESS,deletes
UDG:RBL ALLLDPSESSIONS,ALLLDPSESSIONS,operates_on
UNC:RBL ALLLDPSESSIONS,ALLLDPSESSIONS,operates_on
UNC:RMV ALLOWDNN,ALLOWDNN,deletes
UNC:ADD ALLOWDNN,ALLOWDNN,creates
UNC:LST ALLOWDNN,ALLOWDNN,operates_on
UNC:RMV ALLOWEDDOMAINS,ALLOWEDDOMAINS,deletes
UNC:ADD ALLOWEDDOMAINS,ALLOWEDDOMAINS,creates
UNC:LST ALLOWEDDOMAINS,ALLOWEDDOMAINS,operates_on
UNC:RMV ALLOWEDNFDOMAIN,ALLOWEDNFDOMAIN,deletes
UNC:ADD ALLOWEDNFDOMAIN,ALLOWEDNFDOMAIN,creates
UNC:LST ALLOWEDNFDOMAIN,ALLOWEDNFDOMAIN,operates_on
UNC:RMV ALLOWEDNFNS,ALLOWEDNFNS,deletes
UNC:ADD ALLOWEDNFNS,ALLOWEDNFNS,creates
UNC:LST ALLOWEDNFNS,ALLOWEDNFNS,operates_on
UNC:RMV ALLOWEDNFTYPES,ALLOWEDNFTYPES,deletes
UNC:ADD ALLOWEDNFTYPES,ALLOWEDNFTYPES,creates
UNC:LST ALLOWEDNFTYPES,ALLOWEDNFTYPES,operates_on
UNC:RMV ALLOWEDNSSAIS,ALLOWEDNSSAIS,deletes
UNC:ADD ALLOWEDNSSAIS,ALLOWEDNSSAIS,creates
UNC:LST ALLOWEDNSSAIS,ALLOWEDNSSAIS,operates_on
UNC:RMV ALLOWEDOBJ,ALLOWEDOBJ,deletes
UNC:ADD ALLOWEDOBJ,ALLOWEDOBJ,creates
UNC:LST ALLOWEDOBJ,ALLOWEDOBJ,operates_on
UNC:RMV ALLOWEDOBJNAME,ALLOWEDOBJNAME,deletes
UNC:ADD ALLOWEDOBJNAME,ALLOWEDOBJNAME,creates
UNC:LST ALLOWEDOBJNAME,ALLOWEDOBJNAME,operates_on
UNC:RMV ALLOWEDPLMN,ALLOWEDPLMN,deletes
UNC:ADD ALLOWEDPLMN,ALLOWEDPLMN,creates
