product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/激活SCTP,配置Gx over SCTP功能_30442391,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\激活SCTP\配置Gx over SCTP功能_30442391.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/激活SCTP,配置Gy over SCTP功能_30602207,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\激活SCTP\配置Gy over SCTP功能_30602207.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/相关术语,主机&端点_30442367,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\相关术语\主机&端点_30442367.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/相关术语,传送地址_30442366,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\相关术语\传送地址_30442366.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/相关术语,偶联&流_30442368,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\相关术语\偶联&流_30442368.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/相关术语,心跳消息_30442390,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\相关术语\心跳消息_30442390.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/相关术语,路径&首选路径&多归属_30442369,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\相关术语\路径&首选路径&多归属_30442369.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/调测SCTP,调测Gx over SCTP功能_30442392,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\调测SCTP\调测Gx over SCTP功能_30442392.md
UNC,WSFD-104508,组网功能,WSFD-104508 SCTP/调测SCTP,调测Gy over SCTP功能_30602208,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104508 SCTP\调测SCTP\调测Gy over SCTP功能_30602208.md
UNC,WSFD-205101,组网功能,WSFD-205101 支持Routing Behind MS/实现原理,5GC业务流程_76458443,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-205101 支持Routing Behind MS\实现原理\5GC业务流程_76458443.md
